start_station_id,month,average_per_month,start_lng,start_lat,heat
13042,5,5419.0,-87.623777,41.90096,0.37
13045,5,2999.0,-87.62905983333333,41.89411333333334,0.2
13050,5,1570.0,-87.62707650661469,41.88937546663168,0.11
13053,5,867.0,-87.648725,41.883181,0.06
13056,5,938.0,-87.63953,41.88169,0.06
13058,5,1328.0,-87.6494219288,41.9105780349,0.09
13059,5,1593.0,-87.65218198299408,41.91801814237187,0.11
13061,5,2606.0,-87.667747,41.90345,0.18
13063,5,1890.0,-87.654406,41.954245,0.13
13068,5,1175.0,-87.687022,41.91552,0.08
13071,5,2385.0,-87.66402,41.943739,0.16
13073,5,603.0,-87.66717,41.88592,0.04
13074,5,1196.0,-87.658139,41.965221,0.08
13075,5,1123.0,-87.6318545,41.853092333333336,0.08
13080,5,502.0,-87.669886,41.871514,0.03
13081,5,380.0,-87.67325683333334,41.87501566666667,0.03
13083,5,35.0,-87.62138,41.82164816666667,0.0
13084,5,1538.0,-87.69712666666666,41.922580833333335,0.1
13085,5,1624.0,-87.707857,41.929567,0.11
13089,5,392.0,-87.6757,41.854967,0.03
13091,5,182.0,-87.68589133333333,41.854005666666666,0.01
13096,5,125.0,-87.69574239850043,41.8538040657915,0.01
13099,5,494.0,-87.64599144458771,41.85750568031716,0.03
13102,5,1078.0,-87.619407,41.857611,0.07
13108,5,1095.0,-87.65966,41.973815,0.07
13109,5,908.0,-87.659753,41.978353,0.06
13124,5,967.0,-87.6344287848,41.9267559875,0.07
13128,5,1564.0,-87.631942,41.911974,0.11
13132,5,1273.0,-87.67722,41.895769,0.09
13133,5,1513.0,-87.677335,41.915983,0.1
13134,5,269.0,-87.67493,41.88137,0.02
13135,5,824.0,-87.6616345,41.85741083333333,0.06
13136,5,1164.0,-87.678440452,41.903360724,0.08
13137,5,3097.0,-87.6440978050232,41.93758231600629,0.21
13138,5,1084.0,-87.63955083333333,41.87736233333333,0.07
13139,5,770.0,-87.659141,41.868968,0.05
13143,5,462.0,-87.6785,41.9406,0.03
13144,5,687.0,-87.679618,41.943403,0.05
13146,5,3800.0,-87.63638866666666,41.91826866666667,0.26
13150,5,1082.0,-87.62455,41.857813,0.07
13154,5,1527.0,-87.653106,41.910522,0.1
13155,5,562.0,-87.65701583333333,41.884123,0.04
13156,5,1046.0,-87.655519,41.880419,0.07
13157,5,1161.0,-87.6547375,41.877699166666666,0.08
13158,5,1700.0,-87.64961779117584,41.8776415962753,0.11
13160,5,1130.0,-87.6554864,41.8694821,0.08
13162,5,252.0,-87.6466029882431,41.85377981072743,0.02
13163,5,801.0,-87.6511385,41.8580595,0.05
13164,5,824.0,-87.65650416666666,41.85819133333333,0.06
13165,5,132.0,-87.65706333333333,41.865033,0.01
13179,5,3446.0,-87.6346,41.915689,0.23
13191,5,1574.0,-87.63905933333334,41.92223916666666,0.11
13192,5,1993.0,-87.64883,41.919936,0.13
13193,5,2739.0,-87.64414,41.921822,0.18
13194,5,1091.0,-87.658751,41.891795,0.07
13196,5,1280.0,-87.653449,41.894556,0.09
13197,5,635.0,-87.6580399274826,41.886616486027656,0.04
13206,5,702.0,-87.662007,41.877945,0.05
13213,5,150.0,-87.626938,41.841707,0.01
13215,5,515.0,-87.613338,41.83671916666667,0.03
13216,5,1094.0,-87.62570666666667,41.83479533333333,0.07
13217,5,549.0,-87.61793,41.8349,0.04
13221,5,1714.0,-87.672552,41.907655,0.12
13224,5,1089.0,-87.667252,41.907066,0.07
13229,5,1224.0,-87.6637476682663,41.93947775040509,0.08
13235,5,2042.0,-87.6640125,41.948067,0.14
13241,5,675.0,-87.68747,41.902907,0.05
13242,5,581.0,-87.69265919923781,41.92019556200566,0.04
13243,5,1456.0,-87.681391,41.912616,0.1
13245,5,347.0,-87.685854,41.907781,0.02
13247,5,660.0,-87.66772538423538,41.8959743225961,0.04
13248,5,817.0,-87.66845466666666,41.899641333333335,0.06
13249,5,349.0,-87.668835,41.956057,0.02
13253,5,538.0,-87.675278,41.948797,0.04
13256,5,484.0,-87.697474,41.903029,0.03
13257,5,776.0,-87.68958066666667,41.910514166666665,0.05
13258,5,676.0,-87.6968944,41.9104754,0.05
13259,5,620.0,-87.69742280244827,41.91849115368695,0.04
13263,5,1998.0,-87.619521,41.884728,0.13
13265,5,1841.0,-87.641697,41.893808,0.12
13266,5,659.0,-87.691392,41.917741,0.04
13268,5,625.0,-87.67841183333333,41.935895,0.04
13269,5,751.0,-87.669807,41.936083,0.05
13271,5,529.0,-87.677856,41.931931,0.04
13276,5,1848.0,-87.638742,41.93132,0.12
13277,5,1993.0,-87.645451,41.940106,0.13
13278,5,2421.0,-87.646439,41.945529,0.16
13285,5,630.0,-87.673731,41.869265,0.04
13288,5,752.0,-87.677952,41.920009,0.05
13289,5,1086.0,-87.660984,41.896373,0.07
13290,5,992.0,-87.6626,41.90068,0.07
13292,5,531.0,-87.707453,41.9215055,0.04
13294,5,757.0,-87.665936,41.93259,0.05
13296,5,816.0,-87.668507,41.92883,0.06
13300,5,5710.0,-87.616743,41.880958,0.39
13303,5,1444.0,-87.63089,41.89675,0.1
13304,5,331.0,-87.656625,41.861267,0.02
13307,5,356.0,-87.66375566666666,41.85480833333333,0.02
13319,5,798.0,-87.6687,41.950687,0.05
13323,5,1634.0,-87.649993,41.952833,0.11
13325,5,2253.0,-87.648636,41.949074,0.15
13326,5,352.0,-87.639573,41.874255,0.02
13331,5,317.0,-87.654127,41.855136,0.02
13332,5,2025.0,-87.661501,41.872187,0.14
13338,5,1749.0,-87.621799469,41.897021651,0.12
13341,5,1596.0,-87.639833,41.882091,0.11
13345,5,237.0,-87.618034,41.831379,0.02
13353,5,946.0,-87.661206,41.88283,0.06
13354,5,285.0,-87.666507,41.865234,0.02
13379,5,1461.0,-87.649499,41.9577415,0.1
13389,5,1514.0,-87.649603,41.961004,0.1
13398,5,518.0,-87.590368,41.802562,0.03
13409,5,969.0,-87.6511,41.883165,0.07
13420,5,134.0,-87.61678,41.8246,0.01
13427,5,1627.0,-87.622072,41.890573,0.11
13430,5,2811.0,-87.631697,41.890762,0.19
13431,5,2100.0,-87.607267,41.866095,0.14
13432,5,528.0,-87.671473,41.889899,0.04
13434,5,773.0,-87.666611,41.891072,0.05
15442,5,135.0,-87.66571283333333,41.839144,0.01
15443,5,287.0,-87.635491,41.842733,0.02
15445,5,321.0,-87.6318229814,41.83452988563,0.02
15446,5,135.0,-87.65610633333333,41.8307045,0.01
15449,5,42.0,-87.62660333333334,41.82305733333333,0.0
15470,5,118.0,-87.6180535802,41.80229465088,0.01
15491,5,142.0,-87.57632374763489,41.78091096424803,0.01
15529,5,1858.0,-87.62247166666667,41.898571,0.13
15530,5,1841.0,-87.6259080327,41.89576474564,0.12
15534,5,1482.0,-87.6175165471,41.88634906269,0.1
15535,5,1271.0,-87.64459766666667,41.88445266666667,0.09
15539,5,1176.0,-87.64423716666667,41.878093666666665,0.08
15541,5,1548.0,-87.620473,41.876535,0.1
15542,5,142.0,-87.640949,41.871467,0.01
15544,5,3220.0,-87.6153553902,41.86722595682,0.22
15545,5,1253.0,-87.61379152536392,41.85741178707404,0.08
15546,5,530.0,-87.6191537415,41.85418424947,0.04
15550,5,705.0,-87.639474,41.870257,0.05
15571,5,851.0,-87.6602845349,41.9947796884,0.06
15575,5,895.0,-87.6601406209,41.98974251144,0.06
15576,5,1869.0,-87.65228122472763,41.98404411519213,0.13
15578,5,806.0,-87.6602738295,41.9840446107,0.05
15585,5,122.0,-87.69644083333333,41.98364933333333,0.01
15597,5,3.0,-87.644614,41.769062,0.0
15599,5,4.0,-87.616954,41.765527,0.0
15615,5,260.0,-87.711866,41.968367666666666,0.02
15621,5,241.0,-87.70581683333333,41.961076,0.02
15622,5,428.0,-87.695439,41.961068,0.03
15623,5,349.0,-87.6911650414,41.96152593287,0.02
15624,5,198.0,-87.73195533333333,41.95324566666667,0.01
